"stageid","traversedpath","accountid","name","accountnumber","accountratingcode","address1_composite","address1_addresstypecode","address1_city","address1_country","address1_county","address1_fax","address1_freighttermscode","address1_latitude","address1_longitude","address1_name","address1_postofficebox","address1_primarycontactname","address1_stateorprovince","address1_line1","address1_line2","address1_line3","address1_telephone2","address1_telephone3","address1_postalcode","address2_composite","address2_addresstypecode","address2_city","address2_country","address2_county","address2_fax","address2_latitude","address2_longitude","address2_name","address2_postofficebox","address2_primarycontactname","address2_stateorprovince","address2_line1","address2_line2","address2_line3","address2_telephone1","address2_telephone2","address2_telephone3","address2_postalcode","address1_telephone1","aging30","aging30_base","aging60","aging60_base","aging90","aging90_base","ic_allowautoupdateofdescription","revenue","revenue_base","businesstypecode","accountcategorycode","accountclassificationcode","adx_createdbyipaddress","adx_createdbyusername","creditonhold","creditlimit","creditlimit_base","customersizecode","entityimage","description","donotbulkemail","donotbulkpostalmail","donotemail","donotfax","donotpostalmail","donotphone","emailaddress1","emailaddress2","emailaddress3","entityimageid","exchangerate","ic_facebooklink","fax","followemail","ftpsiteurl","msdyn_gdproptout","ic_hoursofoperation","importsequencenumber","industrycode","ic_instagramlink","lastusedincampaign","lastonholdtime","ic_linkedinlink","telephone1","marketcap","marketcap_base","marketingonly","merged","adx_modifiedbyipaddress","adx_modifiedbyusername","numberofemployees","onholdtime","opendeals","opendeals_date","opendeals_state","openrevenue","openrevenue_base","openrevenue_date","openrevenue_state","telephone2","ownershipcode","participatesinworkflow","paymenttermscode","preferredappointmentdaycode","preferredcontactmethodcode","preferredappointmenttimecode","primarysatoriid","msdyn_primarytimezone","primarytwitterid","processid","ic_projectstatus","ic_referralcount","ic_referralcount_date","ic_referralcount_state","customertypecode","ic_sector","donotsendmm","sharesoutstanding","shippingmethodcode","sic","statuscode","statecode","stockexchange","teamsfollowed","telephone3","territorycode","tickersymbol","timespentbymeonemailandmeetings","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","websiteurl","yominame","ic_youtubelink","createdbyexternalparty","transactioncurrencyid","msdyn_accountkpiid","slainvokedid","msa_managingpartnerid","masterid","modifiedbyexternalparty","originatingleadid","owningbusinessunit","parentaccountid","preferredequipmentid","preferredserviceid","defaultpricelevelid","primarycontactid","msdyn_salesaccelerationinsightid","msdyn_segmentid","slaid","territoryid","preferredsystemuserid.azureactivedirectoryobjectid"
"","","0e9666f3-511a-f011-998b-6045bd053599","Saved 2 Serve","","1","P.O. Box 849
Orange Park, FL 32067","","Orange Park","","","","","","","","","","FL","P.O. Box 849","","","","","32067","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Saved2Serve is a faith-based nonprofit organization focused on serving communities in Northeast Florida, including areas like Clay County and Jacksonville. They provide outreach programs, community support, and resources to individuals and families in need, with an emphasis on spiritual growth, mentorship, and practical assistance to help people overcome challenges and improve their quality of life.","False","False","False","False","False","False","william@saved2serve.com","","","","1","https://www.facebook.com/saved2serve/","","True","","False","","2","","","","","","904-234-9093","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300000","2","2026-02-16 14:55:30.0000000","1","","123300001","False","","1","","1","0","","","","1","","","","","24627092","https://saved2serve.us/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","2456fb1f-bc46-f011-877a-6045bd08cce2","","","","",""
"","","29a246cc-318b-f011-b4cc-6045bd07cee7","Mercy Support Services","","1","515 College Drive
Middleburg, FL 32068","","Middleburg","","","","","","","","","","FL","515 College Drive","","","","","32068","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Mercy Support Services is a Clay County nonprofit offering housing stability, mentoring, and support for families in crisis. Its programs include temporary housing, financial literacy, and life-skills training to help families achieve stability and independence. Mercy collaborates with local churches and organizations to serve those in need. Mercy Support Services can provide utility payment assistance when funds are available.","False","False","False","False","False","False","Info@mssclay.org","","","","1","https://www.facebook.com/mercysupportservices/","","True","","False","Mon–Fri 9:00 am–5:00 pm","","","","","","","904-297-4052","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","00000000-0000-0000-0000-000000000000","123300002","244","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24627091","https://www.mercysupportservices.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","","","","","",""
"","","1b5274a5-f171-f011-b4cc-000d3a3110f3","Clay County Habitat for Humanity","","1","3 South West Street
Green Cove Springs, FL 32043
United States","","Green Cove Springs","United States","","","","","","","","","FL","3 South West Street","","","","","32043","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Clay County Habitat for Humanity Mission

Building safe, decent, and affordable housing in partnership with the community and God’s people in need.

About Clay County Habitat for Humanity

Clay County Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing in Clay County area (Penney Farms, Green Cove Springs, Middleburg, Orange Park, Keystone Heights). As an affiliate of Habitat for Humanity International, we work in partnership with local families and volunteers to build safe, decent, and affordable homes for low-income individuals and families in need.

All are welcome

Clay County Habitat is an equal housing opportunity nonprofit. We do not discriminate against any person or family based on their race, color, religion, sex, age, handicap, family status, national origin, sexual orientation, or gender identity.

As a matter of policy, Habitat for Humanity International and its affiliated organizations do not proselytize. This means that Habitat will not offer assistance on the expressed or implied condition that people must either adhere to or convert to a particular faith or listen and respond to messaging designed to induce conversion to a particular faith.

Habitat for Humanity International Vision

A world where everyone has a decent place to live.

Habitat for Humanity International Mission Statement

Seeking to put God’s love into action, Habitat for Humanity brings people together to build homes, communities and hope.

About Habitat for Humanity International

Founded in Americus, Georgia, USA, in 1976, Habitat for Humanity today operates around the globe. In 2023, Habitat for Humanity helped 13.4 million people build or improve a place to call home. An additional 9.5 million people gained the potential to improve their housing conditions through training programs and advocacy work driven by Habitat in local communities.","False","False","False","False","False","False","ekirce@clayhabitat.org","","","","1","","","True","","False","M-F 9 to 4","9","","","","","","904-657-2082","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300003","13","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24627090","https://www.clayhabitat.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","4d24aeaa-4083-f011-b4cc-0022480b28b9","","","","",""
"","","05079325-2b72-f011-b4cc-000d3a35c884","Senior Living","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","SeniorLiving.org is an online resource dedicated to providing information, guides, and reviews about senior living options, including assisted living, independent living, memory care, and in-home care. The organization offers tools and advice to help seniors and their families make informed decisions about housing, health, and financial planning for aging. While it serves a national audience, it provides resources that can assist individuals in Northeast Florida, including areas like Clay County and Jacksonville, by helping them find local senior living communities and care services.","False","False","False","False","False","False","","","","","1","https://www.facebook.com/seniorlivingorg","","True","","False","24/7","","","","","","","954-691-9500","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","00000000-0000-0000-0000-000000000000","123300003","1","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24615827","https://www.seniorliving.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","","","","","",""
"","","735274a5-f171-f011-b4cc-000d3a3110f3","The Clothes Closet & Food Pantry YOU MUST FILL OUT THEIR FORM FOR ASSISTANCE NON-REFERRAL","","1","1010 Fromhart St.
Orange Park, FL 32073","","Orange Park","","","","","","","","","","FL","1010 Fromhart St.","","","","","32073","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Serving Our Community YOU MUST FILL OUT A FORM AT THE CLOSET FOR ASSISTANCE. 

The Clothes Closet and Food Pantry is dedicated to caring for our Clay County neighbors during times of hardship. By providing essential resources, we help individuals and families find stability, maintain dignity, and take meaningful steps toward recovery—together as a community.

How We Serve

Clothing for individuals and families

Food assistance for Fleming Island and Orange Park residents

Linens, kitchenware, and small household appliances

Baby equipment and essential infant items

Adult mobility items

Support items for neighbors experiencing homelessness

Toys and books for children.","False","False","False","False","False","False","clothesclosetop@att.net","","","","1","https://www.facebook.com/ccfpop","","True","","False","MONDAY-FRIDAY 9AM-12PM- and the 1st,2nd,3rd SATURDAYS 9-12 each month Picture ID of all adults living in the home and proof of residency in Clay County","9","","","","","","904-264-5239","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300003","5","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24253213","https://www.ccfpop.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","","","","","",""
"","","07cd8295-1779-f011-b4cc-0022480b28b9","Impact Clay","","1","151 College Dr
Ste. 1 & 2
Orange Park, FL 32065
United States","","Orange Park","United States","","","","","","","","","FL","151 College Dr","Ste. 1 & 2","","","","32065","","1","","","","","","","","","","","","","","","","","","","","","","","","","False","","","1","","1","","","False","","","1","","Impact Clay is a collaborative network of organizations, businesses, and community members in Clay County, Florida, working together to address local needs and improve quality of life. They focus on fostering partnerships, sharing resources, and supporting initiatives in areas such as education, health, economic stability, and community engagement to create a stronger, more connected community in Northeast Florida.","False","False","False","False","False","False","info@impactclay.org","","","","1","https://www.facebook.com/ImpactClay/","","True","","False","Mon - Thurs. 9 AM- 1 PM","","","","","","","904-330-1848","","","False","False","","","3","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","00000000-0000-0000-0000-000000000000","123300003","10","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24252584","https://impactclay.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","4cda35e8-376e-f011-b4cc-0022480b28b9","","","","",""
"","","049666f3-511a-f011-998b-6045bd053599","Mission of the Dirt Road","","1","7790 State Road 100
Keystone Heights, FL 32656-9085 ·
United States","","Keystone Heights","United States","","","","","","","","","FL","7790 State Road 100","","","","","32656-9085 ·","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Mission of the Dirt Road is a community center and church in Keystone Heights. During Community Center hours, Mission of the Dirt Road offers free coffee and water, connection to resources and community. At various times, Mission of the Dirt Road offers: free meals, showers, snacks and easy to prepare food and hygiene items, GED classes, recovery meetings, tobacco cessations classes, home repairs, ID replacement, wellness related classes, summer programming for kids, and more. Mission of the Dirt Road is also the community champion for the High Ridge Initiative, a Clay County approved community development project.","False","False","False","False","False","False","carey@missionofthedirtroad.com","","","","1","https://www.facebook.com/missionofthedirtroad/","","True","","False","Tuesday-Friday, 10am-2pm;","2","","","","","","352-478-8050","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300000","2","2026-02-16 14:55:30.0000000","1","","123300001","False","","1","","1","0","","","","1","","","","","24247615","https://missionofthedirtroad.com/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","","","","","",""
"","","be9566f3-511a-f011-998b-6045bd053599","Salvation Army of Clay County","","1","2795 County Rd. 220
Middleburg, FL 32068","","Middleburg","","","","","","","","","","FL","2795 County Rd. 220","","","","","32068","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","The Salvation Army of Northeast Florida serves communities in Clay County by providing a range of social services and programs. Their efforts include offering shelter and housing assistance, food distribution, disaster relief, youth programs, and support for individuals and families in crisis. They focus on meeting basic needs, promoting self-sufficiency, and offering spiritual support to those in need across the region.","False","False","False","False","False","False","","","","","1","https://www.facebook.com/SalArmyNEFL","","True","","False","Food pantry  Tues and Thurs 9am to 11am and 1pm-3pm","2","","","","","","904-276-6677","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300003","50","2026-02-16 14:55:30.0000000","1","","123300000","False","","1","","1","0","","","","1","","","","","24247367","https://jacksonville.salvationarmyflorida.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","5d0adb95-7707-f111-8406-000d3a328e54","","","","",""
"","","6bade2e7-24bf-f011-bbd3-000d3a367f83","Salvation Army of Clay County","","1","2795 County Rd. 220
Middleburg, FL 32068","","Middleburg","","","","","","","","","","FL","2795 County Rd. 220","","","","","32068","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","False","","","1","","Food Pantry Tues & Thurs. 9am to 11pm and 1pm to 3pm restricted to once every 30 days.","False","False","False","False","False","False","Jennifer.Wheeler@uss.salvationarmy.org","","","","1","","","True","","False","Tues & Thurs. 9am to 11pm and 1pm to 3pm restricted to once every 30 days.","","","","","","","904-276-6677","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","00000000-0000-0000-0000-000000000000","123300003","0","2026-02-16 14:55:30.0000000","1","","123300001","False","","1","","2","1","","","","1","","","","","24247366","https://www.salvationarmyusa.org/","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","554cd605-25bf-f011-bbd3-000d3a367f83","","","","",""
"","","195274a5-f171-f011-b4cc-000d3a3110f3","Clay County District School - Project R.E.A.C.H/ Homeless Education","","1","900 Walnut Street
Green Cove Springs, FL 32043","","Green Cove Springs","","","","","","","","","","FL","900 Walnut Street","","","","","32043","","1","","","","","","","","","","","","","","","","","","","","","","","","","True","","","1","","1","","","False","","","1","","Project REACH is an initiative by Clay County District Schools in Northeast Florida aimed at supporting students and families experiencing homelessness. The program works to ensure that children and youth in Clay County have access to educational opportunities, resources, and support services, helping them overcome barriers to academic success and stability.","False","False","False","False","False","False","projectREACH@myoneclay.net","","","","1","","","True","","False"," ","9","","","","","","904-336-0491","","","False","False","","","","","0","2026-02-16 14:55:30.0000000","1","0","0","2026-02-16 14:55:30.0000000","1","","","False","","","1","","","","","","123300003","3","2026-02-16 14:55:30.0000000","1","","123300002","False","","1","","1","0","","","","1","","","","","24247360","https://www.oneclay.net/page/project-reach","","","","77d15c24-d205-f011-bae2-000d3a596152","","","","","","","488369ce-4805-f011-bae2-000d3a596152","","","","","7c95c203-f6d5-f011-8543-7ced8d3d90b2","","","","",""
