"ic_category","importsequencenumber","ic_needcategoryid","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"Child & Adolescent Mental Health","","23f1ceca-5df6-f011-8406-6045bd027e00","1","0","","","23164709","488369ce-4805-f011-bae2-000d3a596152"
"Food and Daily Needs","3","3a609d91-531a-f011-998b-6045bd053599","1","0","","","19531754","488369ce-4805-f011-bae2-000d3a596152"
"Human Trafficking","","63803b67-fbb3-f011-bbd3-000d3a35deaf","1","0","","","19531718","488369ce-4805-f011-bae2-000d3a596152"
"Special Situations","3","46609d91-531a-f011-998b-6045bd053599","1","0","","","19531711","488369ce-4805-f011-bae2-000d3a596152"
"Pets and Animals","","8887dbea-db72-f011-b4cc-6045bd08cce2","1","0","","","19531674","488369ce-4805-f011-bae2-000d3a596152"
"Legal Help","","d1a9940c-6d99-f011-bbd2-6045bd04e3e0","1","0","","","19531666","488369ce-4805-f011-bae2-000d3a596152"
"Learning and Education","3","3e609d91-531a-f011-998b-6045bd053599","1","0","","","19531619","488369ce-4805-f011-bae2-000d3a596152"
"Mind and Wellness","","23a3f1ca-f9b3-f011-bbd3-000d3a35deaf","1","0","","","19531402","488369ce-4805-f011-bae2-000d3a596152"
"Money Help","","5821e73e-f8b3-f011-bbd3-000d3a35deaf","1","0","","","19531220","488369ce-4805-f011-bae2-000d3a596152"
"Home and Shelter","","49e3d7f5-f7b3-f011-bbd3-000d3a35deaf","1","0","","","19531159","488369ce-4805-f011-bae2-000d3a596152"
"Disability Services","","323ca61c-f6b3-f011-bbd3-000d3a35deaf","1","0","","","19531148","488369ce-4805-f011-bae2-000d3a596152"
"Veterans Services","","9475c377-f5b3-f011-bbd3-000d3a35deaf","1","0","","","19531113","488369ce-4805-f011-bae2-000d3a596152"
"Vehicle Assistance","","0ed3639c-8a4b-f011-877a-0022480b28b9","1","0","","","11399592","488369ce-4805-f011-bae2-000d3a596152"
"Healthcare","","f8a3de12-9d2a-f011-8c4d-000d3a35c884","1","0","","","9169369","488369ce-4805-f011-bae2-000d3a596152"
"Transportation","3","48609d91-531a-f011-998b-6045bd053599","1","0","","","7160271","488369ce-4805-f011-bae2-000d3a596152"
"Family & Child Services","3","42609d91-531a-f011-998b-6045bd053599","1","0","","","7160268","488369ce-4805-f011-bae2-000d3a596152"
"Employment & Financial Stability","3","40609d91-531a-f011-998b-6045bd053599","1","0","","","7160267","488369ce-4805-f011-bae2-000d3a596152"
"Community Support","3","3c609d91-531a-f011-998b-6045bd053599","1","0","","","7160265","488369ce-4805-f011-bae2-000d3a596152"
