"importsequencenumber","ic_name","ic_needid","statuscode","statecode","ic_synonyms","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","ic_needcategory","owningbusinessunit"
"14","Group Counseling","7df62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164761","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Counseling (one on one)","7bf62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164760","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Bullying","79f62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164759","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Mental Health","77f62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164758","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Residential Facilities","75f62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164757","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Anger management","73f62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164756","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Substance abuse","71f62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164755","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Sexual Reactive (children that hurt other children)","6ff62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164754","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Autism","6df62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164753","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"14","Eating disorders","6bf62820-5ef6-f011-8406-000d3a3b9c15","1","0","","","","23164750","23f1ceca-5df6-f011-8406-6045bd027e00","488369ce-4805-f011-bae2-000d3a596152"
"4","Senior Care","3650c52c-541a-f011-998b-6045bd053599","2","1","Senior Care Help, Help for Older Adults, Elder Support, Help for Seniors, Senior Services, Older Adult Assistance, Elderly Care Help, Aging Support, Senior Living Help, Help for Aging Parents","","","22347292","23a3f1ca-f9b3-f011-bbd3-000d3a35deaf","488369ce-4805-f011-bae2-000d3a596152"
"","Benefits Assistance","35405924-2772-f011-b4cc-000d3a35c884","2","1","insurance, Medicare, Medicaid","","","22347289","5821e73e-f8b3-f011-bbd3-000d3a35deaf","488369ce-4805-f011-bae2-000d3a596152"
"","Health Screenings","e6d0aa50-d472-f011-b4cc-6045bd08cce2","1","0","","","","21682844","f8a3de12-9d2a-f011-8c4d-000d3a35c884","488369ce-4805-f011-bae2-000d3a596152"
"","Baker Act All Ages","4400e6a7-1fca-f011-8544-002248069e31","1","0","Mental Health","","","21341342","23a3f1ca-f9b3-f011-bbd3-000d3a35deaf","488369ce-4805-f011-bae2-000d3a596152"
"4","Childcare Assistance","1050c52c-541a-f011-998b-6045bd053599","1","0","daycare, after school care","","","20185467","42609d91-531a-f011-998b-6045bd053599","488369ce-4805-f011-bae2-000d3a596152"
"4","Youth Programs","4050c52c-541a-f011-998b-6045bd053599","1","0","Youth Activities, Teen Programs, After-School Programs, Kids and Teen Support, Youth Services, Student Programs, Help for Young People, Youth Development, Teen Support Groups, Youth Community Programs","","","20185443","42609d91-531a-f011-998b-6045bd053599","488369ce-4805-f011-bae2-000d3a596152"
"5","Workforce Development","e325c700-551a-f011-998b-000d3a311238","1","0","Career Development, Employment Help, Work Skills Training, Job Readiness Support, Career Growth Help, Employment Programs, Workforce Training, Help Finding a Job, Job Skills Development","","","20185418","3e609d91-531a-f011-998b-6045bd053599","488369ce-4805-f011-bae2-000d3a596152"
"","Volunteer or Mentoring","adfbce03-d872-f011-b4cc-6045bd08cce2","1","0","Mentoring Programs, Community Volunteering, Become a Mentor, Help Others, Volunteer and Mentor Help, Youth Mentoring, Community Service Opportunities, Give Back Programs, Volunteer Support","","","20185408","3c609d91-531a-f011-998b-6045bd053599","488369ce-4805-f011-bae2-000d3a596152"
"5","Vocational Training","df25c700-551a-f011-998b-000d3a311238","1","0","Career Training, Work Skills Classes, Job Skills Help, Learn a New Trade, Employment Training, Workforce Training, Career Development Help, Job Readiness Classes, Skill-Building Programs","","","20185398","3e609d91-531a-f011-998b-6045bd053599","488369ce-4805-f011-bae2-000d3a596152"
"","Vision Care","95398500-9d2a-f011-8c4d-000d3a35c884","1","0","Eye Care, Eye Doctor Help, Glasses Help, Free Eye Exams, Vision Support, Help Getting Glasses, Eye Health Services, Eye Checkup Help, Vision Assistance","","","20185391","f8a3de12-9d2a-f011-8c4d-000d3a35c884","488369ce-4805-f011-bae2-000d3a596152"
"5","Veterans Help","ed25c700-551a-f011-998b-000d3a311238","1","0","Help for Veterans, Veterans Services, Military Veteran Assistance, Veteran Resources, Help for Former Military, Veterans Benefits Help, Support for Veterans and Families, Veteran Community Help, Veterans Assistance Programs","","","20185385","9475c377-f5b3-f011-bbd3-000d3a35deaf","488369ce-4805-f011-bae2-000d3a596152"
